symbol,date,bs_asset_accruals,fy_period
0007.HK,20250612,3162977000.0,FY2024H2
0007.HK,20230925,5421086000.0,FY2023H1
0008.HK,20260401,84574000000.0,FY2025H2
0008.HK,20250904,81110000000.0,FY2025H1
0008.HK,20250402,78246000000.0,FY2024H2
0008.HK,20240905,75777000000.0,FY2024H1
0008.HK,20240402,73636000000.0,FY2023H2
0008.HK,20230907,71079000000.0,FY2023H1
0009.HK,20251126,170000.0,FY2025H1
0009.HK,20251103,222056000.0,FY2024H1
0009.HK,20250930,162719000.0,FY2024H2
0009.HK,20230920,3106409000.0,FY2023H1
0010.HK,20260326,229440000000.0,FY2025H2
0010.HK,20250923,227253000000.0,FY2025H1
0010.HK,20250320,224151000000.0,FY2024H2
0010.HK,20240912,225473000000.0,FY2024H1
0010.HK,20240327,225109000000.0,FY2023H2
0010.HK,20230921,218965000000.0,FY2023H1
0011.HK,20250826,-5383000000.0,FY2025H1
0011.HK,20250311,-6241000000.0,FY2024H2
0011.HK,20240809,-7100000000.0,FY2024H1
0011.HK,20240311,-7899000000.0,FY2023H2
0011.HK,20230808,-6513000000.0,FY2023H1
0012.HK,20260424,516921000000.0,FY2025H2
0012.HK,20250910,515709000000.0,FY2025H1
0012.HK,20250424,513059000000.0,FY2024H2
0012.HK,20240911,519607000000.0,FY2024H1
0012.HK,20240424,520665000000.0,FY2023H2
0012.HK,20230912,519936000000.0,FY2023H1
0013.HK,20260305,1637274000.0,FY2025H2
0013.HK,20250807,1625446000.0,FY2025H1
0013.HK,20250319,1120238000.0,FY2024H2
0013.HK,20240815,1056915000.0,FY2024H1
0013.HK,20240228,996184000.0,FY2023H2
0013.HK,20230731,1041605000.0,FY2023H1
0014.HK,20260330,107193000000.0,FY2025H2
0014.HK,20250828,107145000000.0,FY2025H1
0014.HK,20250328,106878000000.0,FY2024H2
0014.HK,20240902,107603000000.0,FY2024H1
0014.HK,20240327,106952000000.0,FY2023H2
0014.HK,20230830,111060000000.0,FY2023H1
0016.HK,20251008,799974000000.0,FY2025H2
0016.HK,20250320,796683000000.0,FY2025H1
0016.HK,20241007,801873000000.0,FY2024H2
0016.HK,20240320,808204000000.0,FY2024H1
0016.HK,20231004,790711000000.0,FY2023H2
0016.HK,20230316,783948000000.0,FY2023H1
0017.HK,20250926,394808600000.0,FY2025H2
0017.HK,20250327,406153000000.0,FY2025H1
0017.HK,20241025,417758000000.0,FY2024H2
0017.HK,20240325,432373100000.0,FY2024H1
0017.HK,20230317,568674400000.0,FY2023H1
0018.HK,20250717,1279412000.0,FY2025H2
0018.HK,20241205,1324738000.0,FY2025H1
0018.HK,20240711,1392214000.0,FY2024H2
0018.HK,20231206,1410967000.0,FY2024H1
0018.HK,20230710,1218596000.0,FY2023H2
0018.HK,20221201,1187432000.0,FY2023H1
0019.HK,20260408,428067000000.0,FY2025H2
0019.HK,20250904,426680000000.0,FY2025H1
0019.HK,20250407,428975000000.0,FY2024H2
0019.HK,20240905,414497000000.0,FY2024H1
0019.HK,20240408,409044000000.0,FY2023H2
0019.HK,20230905,414570000000.0,FY2023H1
0020.HK,20260427,27967616000.0,FY2025H2
0020.HK,20250929,24371988000.0,FY2025H1
0020.HK,20250424,25654834000.0,FY2024H2
0020.HK,20240926,24869129000.0,FY2024H1
0020.HK,20240425,23366476000.0,FY2023H2
0020.HK,20230925,28206917000.0,FY2023H1
0021.HK,20260429,1746130000.0,FY2025H2
0021.HK,20250930,1799147000.0,FY2025H1
0021.HK,20250429,1736549000.0,FY2024H2
0021.HK,20240930,1834871000.0,FY2024H1
0021.HK,20240429,1845254000.0,FY2023H2
0021.HK,20230928,1779123000.0,FY2023H1
0022.HK,20250730,511472000.0,FY2025H2
0022.HK,20241210,480111000.0,FY2025H1
0022.HK,20240724,512585000.00000006,FY2024H2
0022.HK,20231227,534998000.00000006,FY2024H1
0022.HK,20230725,552144000.0,FY2023H2
0022.HK,20221219,537334000.0,FY2023H1
0023.HK,20260325,-18115000000.0,FY2025H2
0023.HK,20250917,-12233000000.0,FY2025H1
0023.HK,20250411,-11894000000.0,FY2024H2
0023.HK,20240917,-14319000000.0,FY2024H1
0023.HK,20240326,-13764000000.0,FY2023H2
0023.HK,20230921,-13624000000.0,FY2023H1
0025.HK,20250724,17734277000.0,FY2025H2
0025.HK,20241213,18210857000.0,FY2025H1
0025.HK,20240725,17326038000.0,FY2024H2
0025.HK,20231214,17360824000.0,FY2024H1
0025.HK,20221214,16857312000.000002,FY2023H1
0026.HK,20251016,6800709000.0,FY2025H2
0026.HK,20250312,7213336000.0,FY2025H1
0026.HK,20241024,7185428000.0,FY2024H2
0026.HK,20240313,7431401000.0,FY2024H1
0026.HK,20231012,7629656000.0,FY2023H2
0026.HK,20230310,7719038000.0,FY2023H1
0027.HK,20260409,85446038000.0,FY2025H2
0027.HK,20250910,77528488000.0,FY2025H1
0027.HK,20250410,74105165000.0,FY2024H2
0027.HK,20240912,74221963000.0,FY2024H1
0027.HK,20240410,72703685000.0,FY2023H2
0027.HK,20230913,70453995000.0,FY2023H1
0028.HK,20260424,49219373000.0,FY2025H2
0028.HK,20250919,46867784000.0,FY2025H1
0028.HK,20250422,47838911000.0,FY2024H2
0028.HK,20240920,47256106000.0,FY2024H1
0028.HK,20230915,42597285000.0,FY2023H1
0029.HK,20251027,14752054000.0,FY2025H2
0029.HK,20250326,14575933000.0,FY2025H1
0029.HK,20241025,14942726000.0,FY2024H2
0029.HK,20240326,14946984000.0,FY2024H1
0029.HK,20231026,2266413000.0,FY2023H2
0029.HK,20230328,2390746000.0,FY2023H1
0030.HK,20260424,394618339.0,FY2025H2
0030.HK,20250912,164446464.0,FY2025H1
0030.HK,20250417,155498379.0,FY2024H2
0030.HK,20240913,165919938.0,FY2024H1
0030.HK,20240115,190902578.0,FY2023H2
0031.HK,20260428,13474317000.0,FY2025H2
0031.HK,20250926,13688321000.0,FY2025H1
0031.HK,20250428,13126768000.0,FY2024H2
0031.HK,20240924,13078065000.0,FY2024H1
0031.HK,20240426,13074140000.0,FY2023H2
0031.HK,20230928,13004277000.0,FY2023H1
0032.HK,20260410,8588594999.999999,FY2025H2
0032.HK,20250903,8515590000.0,FY2025H1
0032.HK,20250416,8187493000.0,FY2024H2
0032.HK,20240904,7895787000.0,FY2024H1
0032.HK,20240418,7974206000.0,FY2023H2
0032.HK,20230906,8159049000.0,FY2023H1
0033.HK,20250331,737351000.0,FY2025H1
0033.HK,20241031,750376000.0,FY2024H2
0033.HK,20240328,173679000.0,FY2024H1
0033.HK,20231031,118010000.0,FY2023H2
0033.HK,20230331,129573000.00000001,FY2023H1
0034.HK,20260427,40100388000.0,FY2025H2
0034.HK,20250926,40460126000.0,FY2025H1
0034.HK,20250425,41669963000.0,FY2024H2
0034.HK,20240926,43460654000.0,FY2024H1
0034.HK,20240425,46345339000.0,FY2023H2
0034.HK,20230926,46075993000.0,FY2023H1
0035.HK,20250729,37014709000.0,FY2025H2
0035.HK,20241220,41033617000.0,FY2025H1
0035.HK,20240726,41990172000.0,FY2024H2
0035.HK,20231221,43906890000.0,FY2024H1
0035.HK,20230725,46943053000.0,FY2023H2
0035.HK,20221222,44933902000.0,FY2023H1
0036.HK,20260414,685784000.0,FY2025H2
0036.HK,20250923,772242000.0,FY2025H1
0036.HK,20250410,771289000.0,FY2024H2
0036.HK,20240925,866494000.0,FY2024H1
0036.HK,20240418,1354212000.0,FY2023H2
0036.HK,20230919,1438146000.0,FY2023H1
0037.HK,20250730,315112956.0,FY2025H2
0037.HK,20241219,328280692.0,FY2025H1
0037.HK,20240725,342125806.0,FY2024H2
0037.HK,20231220,365427629.0,FY2024H1
0037.HK,20230728,370987400.0,FY2023H2
0037.HK,20221216,390785936.0,FY2023H1
0038.HK,20260326,13764044761.27,FY2025H2
0038.HK,20251028,14629709784.36,FY2025Q3
0038.HK,20250828,14139776452.300001,FY2025H1
0038.HK,20250428,13390542945.519999,FY2025Q1
0038.HK,20250327,12906688173.689999,FY2024H2
0038.HK,20241029,13482225698.27,FY2024Q3
0038.HK,20240828,13201064818.34,FY2024H1
0038.HK,20240425,12944557989.78,FY2024Q1
0038.HK,20240327,11594051335.76,FY2023H2
0038.HK,20231027,11347269120.589998,FY2023Q3
0038.HK,20230828,11965606654.87,FY2023H1
0038.HK,20230427,10847847704.12,FY2023Q1
0039.HK,20251230,560312000.0,FY2025H1
0039.HK,20250430,432303000.0,FY2024H2
0039.HK,20240927,1837006000.0,FY2024H1
0039.HK,20240430,1845631000.0,FY2023H2
0039.HK,20230928,1874573000.0,FY2023H1
0040.HK,20250730,6247105000.0,FY2025H2
0040.HK,20241216,6724876000.0,FY2025H1
0040.HK,20240730,6284826000.0,FY2024H2
0040.HK,20231218,6735180000.0,FY2024H1
0040.HK,20230728,6919778000.0,FY2023H2
0040.HK,20221213,7207358000.0,FY2023H1
0041.HK,20260331,91575321000.0,FY2025H2
0041.HK,20250925,102226201000.0,FY2025H1
0041.HK,20250327,102694755000.0,FY2024H2
0041.HK,20240924,103069376000.0,FY2024H1
0041.HK,20240409,105041169000.0,FY2023H2
0041.HK,20230922,104740842000.0,FY2023H1
0042.HK,20260429,186303000.0,FY2025H2
0042.HK,20250929,163870030.79999998,FY2025H1
0042.HK,20250428,167242000.0,FY2024H2
0042.HK,20240926,169381929.07000002,FY2024H1
0042.HK,20240430,175086000.0,FY2023H2
0042.HK,20230922,152276814.88,FY2023H1
0045.HK,20260330,54289000000.0,FY2025H2
0045.HK,20250819,55114000000.0,FY2025H1
0045.HK,20250411,53281000000.0,FY2024H2
0045.HK,20240820,55275000000.0,FY2024H1
0045.HK,20240328,56988000000.0,FY2023H2
0045.HK,20230816,57846000000.0,FY2023H1
0046.HK,20260429,175895000.0,FY2025H2
0046.HK,20250911,194792000.0,FY2025H1
0046.HK,20250416,408699000.0,FY2024H2
0046.HK,20240913,225574000.0,FY2024H1
0046.HK,20240419,203362000.0,FY2023H2
0046.HK,20230921,225567000.0,FY2023H1
0048.HK,20260429,226307000.0,FY2025H2
0048.HK,20250923,232113000.0,FY2025H1
0048.HK,20250429,218827000.0,FY2024H2
0048.HK,20240919,222141000.0,FY2024H1
0048.HK,20240430,239391000.0,FY2023H2
0048.HK,20230914,254428000.0,FY2023H1
0050.HK,20260429,7480070000.0,FY2025H2
0050.HK,20250912,7493919000.0,FY2025H1
0050.HK,20250423,7212153000.0,FY2024H2
0050.HK,20240912,7156239000.0,FY2024H1
0050.HK,20240423,7097245000.0,FY2023H2
