symbol,date,curr_earn_yld_basic_excl_ratio_ttm,curr_earn_yld_basic_incl_ratio_ttm,curr_pb,curr_pb_issue,curr_rev_to_ev_ratio,curr_rev_to_ev_ratio_ttm
0005.HK,20260714,6.06967821744966,6.06967821744966,1.93026915973401,,14.4024574752308,14.4024574752308
0005.HK,20260715,6.04384428165968,6.04384428165968,1.93851994304444,,14.4396206305933,14.4396206305933
0005.HK,20260716,6.01516677466863,6.01516677466863,1.94776190113163,,14.2309759383294,14.2309759383294
0005.HK,20260717,,,,,,
0005.HK,20260720,,,,1.9239403169045,,
0005.HK,20260721,5.99976840598913,5.99976840598913,1.9527608200605,,14.2091080208173,14.2091080208173
0005.HK,20260722,5.87673616612589,5.87673616612589,1.99364278767274,,14.0434590368348,14.0434590368348
0005.HK,20260723,5.95646700720367,5.95646700720367,1.96695669739849,,14.1351723229004,14.1351723229004
0700.HK,20251231,,,,,,
0700.HK,20260331,,,,,,
0700.HK,20260428,5.85282544434033,5.85282544434033,3.33909605565075,,,
0700.HK,20260429,5.78783131871533,5.78783131871533,3.37659224663565,,,
0700.HK,20260430,5.92501895791631,5.92501895791631,3.29841077208672,,18.8628854032697,18.8669615768689
0700.HK,20260504,5.86025543221206,5.86025543221206,3.3348625468075,,18.6646544926053,18.6686878295129
0700.HK,20260505,5.87280702223141,5.87280702223141,3.32773514975529,,18.6912811792505,18.6953202700497
0700.HK,20260506,5.98911992435123,5.98911992435123,3.26310820328518,,,
0700.HK,20260507,5.80646625469236,5.80646625469236,3.36575560734824,,,
0700.HK,20260508,5.87729315320556,5.87729315320556,3.32519509341644,,,
0700.HK,20260511,5.96573043077494,5.96573043077494,3.27590168251544,,,
0700.HK,20260512,6.0596789414958,6.0596789414958,,,,19.304041605184
0700.HK,20260513,,,3.26312102294112,,19.0789702320152,
0700.HK,20260514,,,3.24461679501229,,,
0700.HK,20260515,,,3.21897583719837,,17.3640151093879,
0700.HK,20260518,,,3.16791122308218,,,
0700.HK,20260519,,,3.24287547839227,,,
0700.HK,20260520,,,3.2089958111469,,,
0700.HK,20260521,,,,,20.3221877902163,
0700.HK,20260522,,,,,20.2150129858441,
0700.HK,20260526,,,,,20.3249763354035,
0700.HK,20260527,,,,,,
0700.HK,20260528,,,,,,
0700.HK,20260529,,,,,,
0700.HK,20260601,,,,,,
0700.HK,20260602,,,,,,
0700.HK,20260603,,,,,,
0700.HK,20260604,,,,,,
0700.HK,20260605,,,,,,
0700.HK,20260608,,,,,19.9872101814916,
0700.HK,20260609,,,,,,
0700.HK,20260610,,,,,,
0700.HK,20260611,,,,,19.5482829158929,
0700.HK,20260612,,,,,,
0700.HK,20260615,,,,,,
0700.HK,20260616,,,,,19.9685578153982,
0700.HK,20260617,,,,,,
0700.HK,20260618,,,,,20.2988834429553,
0700.HK,20260622,,,,,20.6331242386532,
0700.HK,20260623,,,,,21.5386799779174,
0700.HK,20260624,,,,,,
0700.HK,20260625,,,,,,
0700.HK,20260626,,,,,,
0700.HK,20260629,,,,,,
0700.HK,20260630,,,,,20.8370979957838,
0700.HK,20260702,,,,,,
0700.HK,20260703,,,,,,
0700.HK,20260706,,,,,,
0700.HK,20260707,,,,,,
0700.HK,20260708,,,,,,
0700.HK,20260709,,,,,,
0700.HK,20260710,,,,,,
0700.HK,20260713,,,,,,
0700.HK,20260714,,,,,,
0700.HK,20260715,,,,,,
0700.HK,20260716,,,,,,
0700.HK,20260717,,,,,,
0700.HK,20260720,,,,,,
0700.HK,20260721,,,,,,
0700.HK,20260722,,,,,,
0700.HK,20260723,,,,,,
0700.HK,20260724,,,,,20.4350621958246,
